timestamp,open,close,high,low
2025-10-25 03:35:00Z,0.75595,0.75625,0.75661,0.75528
2025-10-25 03:40:00Z,0.75625,0.75538,0.75695,0.7553
2025-10-25 03:45:00Z,0.7554,0.75499,0.75575,0.75466
2025-10-25 03:50:00Z,0.75499,0.75609,0.75656,0.75499
2025-10-25 03:55:00Z,0.7561,0.7554,0.75691,0.75507
2025-10-25 04:00:00Z,0.75538,0.75466,0.75611,0.75455
2025-10-25 04:05:00Z,0.75468,0.7529,0.75493,0.75223
2025-10-25 04:10:00Z,0.75292,0.75228,0.75367,0.75136
2025-10-25 04:15:00Z,0.75228,0.75097,0.75244,0.75081
2025-10-25 04:20:00Z,0.75099,0.75271,0.75315,0.75085
2025-10-25 04:25:00Z,0.75255,0.75106,0.75262,0.75103
2025-10-25 04:30:00Z,0.75106,0.75031,0.75153,0.74998
2025-10-25 04:35:00Z,0.75028,0.74867,0.75028,0.74843
2025-10-25 04:40:00Z,0.74865,0.74859,0.74918,0.74779
2025-10-25 04:45:00Z,0.74855,0.74737,0.74957,0.7473
2025-10-25 04:50:00Z,0.7473,0.74707,0.74763,0.74663
2025-10-25 04:55:00Z,0.74707,0.74617,0.74707,0.74515
2025-10-25 05:00:00Z,0.74617,0.74558,0.74673,0.74548
2025-10-25 05:05:00Z,0.74555,0.74589,0.74667,0.74475
2025-10-25 05:10:00Z,0.74586,0.74582,0.74631,0.74508
2025-10-25 05:15:00Z,0.74582,0.74598,0.74698,0.7448
2025-10-25 05:20:00Z,0.74592,0.74574,0.74677,0.74568
2025-10-25 05:25:00Z,0.74574,0.74486,0.74591,0.7441
2025-10-25 05:30:00Z,0.74481,0.74391,0.74498,0.74348
2025-10-25 05:35:00Z,0.74393,0.74537,0.74554,0.74378
2025-10-25 05:40:00Z,0.74535,0.74426,0.74535,0.74426
2025-10-25 05:45:00Z,0.7443,0.74453,0.74542,0.74338
2025-10-25 05:50:00Z,0.74449,0.74348,0.74491,0.74332
2025-10-25 05:55:00Z,0.74346,0.74333,0.74356,0.74266
2025-10-25 06:00:00Z,0.74333,0.74331,0.74353,0.74248
2025-10-25 06:05:00Z,0.74327,0.74382,0.74405,0.74285
2025-10-25 06:10:00Z,0.74378,0.74374,0.74434,0.74294
2025-10-25 06:15:00Z,0.74373,0.74401,0.74433,0.74281
2025-10-25 06:20:00Z,0.74404,0.74343,0.74428,0.74275
2025-10-25 06:25:00Z,0.74343,0.7439,0.74421,0.74214
2025-10-25 06:30:00Z,0.7439,0.74327,0.74412,0.74296
2025-10-25 06:35:00Z,0.74329,0.74525,0.74606,0.74329
2025-10-25 06:40:00Z,0.74525,0.74769,0.74804,0.74525
2025-10-25 06:45:00Z,0.74765,0.74927,0.74943,0.74753
2025-10-25 06:50:00Z,0.74927,0.74898,0.74952,0.74844
2025-10-25 06:55:00Z,0.749,0.74843,0.74933,0.74786
2025-10-25 07:00:00Z,0.74843,0.74879,0.75,0.74791
2025-10-25 07:05:00Z,0.74881,0.7488,0.74967,0.74847
2025-10-25 07:10:00Z,0.74877,0.74761,0.74883,0.74753
2025-10-25 07:15:00Z,0.74761,0.74796,0.74912,0.74761
2025-10-25 07:20:00Z,0.74796,0.74674,0.74837,0.74625
2025-10-25 07:25:00Z,0.74674,0.74499,0.74703,0.74499
2025-10-25 07:30:00Z,0.74497,0.74511,0.74602,0.74485
2025-10-25 07:35:00Z,0.74515,0.74753,0.74785,0.74497
2025-10-25 07:40:00Z,0.74753,0.74735,0.74789,0.7467
2025-10-25 07:45:00Z,0.74732,0.74803,0.74844,0.74718
2025-10-25 07:50:00Z,0.74797,0.74785,0.74869,0.74774
2025-10-25 07:55:00Z,0.74783,0.74878,0.74898,0.7475
2025-10-25 08:00:00Z,0.74876,0.75023,0.75031,0.74815
2025-10-25 08:05:00Z,0.75023,0.74985,0.75049,0.74879
2025-10-25 08:10:00Z,0.74985,0.74783,0.74995,0.7478
2025-10-25 08:15:00Z,0.74787,0.74942,0.74952,0.74723
2025-10-25 08:20:00Z,0.74942,0.74996,0.75075,0.7484
2025-10-25 08:25:00Z,0.74996,0.75123,0.75148,0.74898
2025-10-25 08:30:00Z,0.75123,0.7518,0.75202,0.75111
2025-10-25 08:35:00Z,0.75178,0.7526,0.75269,0.75143
2025-10-25 08:40:00Z,0.75259,0.75334,0.75361,0.75193
2025-10-25 08:45:00Z,0.75334,0.75406,0.75496,0.75301
2025-10-25 08:50:00Z,0.75406,0.75542,0.75582,0.75406
2025-10-25 08:55:00Z,0.75542,0.75455,0.75566,0.7545
2025-10-25 09:00:00Z,0.75453,0.75426,0.755,0.75394
2025-10-25 09:05:00Z,0.75426,0.75557,0.7556,0.75356
2025-10-25 09:10:00Z,0.75543,0.75786,0.75795,0.75537
2025-10-25 09:15:00Z,0.75784,0.75779,0.75809,0.75691
2025-10-25 09:20:00Z,0.75782,0.7581,0.75833,0.75701
2025-10-25 09:25:00Z,0.75809,0.75888,0.75975,0.75736
2025-10-25 09:30:00Z,0.75888,0.75825,0.76044,0.75825
2025-10-25 09:35:00Z,0.75828,0.75716,0.75857,0.75664
2025-10-25 09:40:00Z,0.75716,0.75848,0.75909,0.75675
2025-10-25 09:45:00Z,0.75848,0.75944,0.75952,0.75787
2025-10-25 09:50:00Z,0.75946,0.76085,0.76141,0.75904
2025-10-25 09:55:00Z,0.76085,0.75946,0.76091,0.75943
2025-10-25 10:00:00Z,0.75946,0.76061,0.76074,0.75932
2025-10-25 10:05:00Z,0.76062,0.76063,0.76177,0.76062
