timestamp,open,close,high,low
2025-10-27 03:00:00Z,1.172,1.17186,1.17372,1.17126
2025-10-27 03:05:00Z,1.17186,1.17065,1.17211,1.16955
2025-10-27 03:10:00Z,1.17065,1.17012,1.17168,1.16913
2025-10-27 03:15:00Z,1.17007,1.17034,1.17091,1.16776
2025-10-27 03:20:00Z,1.17031,1.16804,1.172,1.16736
2025-10-27 03:25:00Z,1.16804,1.16752,1.16935,1.16693
2025-10-27 03:30:00Z,1.16741,1.16731,1.16868,1.16632
2025-10-27 03:35:00Z,1.16735,1.1676,1.16832,1.16646
2025-10-27 03:40:00Z,1.16754,1.16491,1.16859,1.16491
2025-10-27 03:45:00Z,1.16491,1.16375,1.1654,1.16303
2025-10-27 03:50:00Z,1.16371,1.16166,1.16376,1.16063
2025-10-27 03:55:00Z,1.16166,1.1644,1.1644,1.16121
2025-10-27 04:00:00Z,1.16434,1.16455,1.16468,1.1626
2025-10-27 04:05:00Z,1.16442,1.16562,1.16751,1.16429
2025-10-27 04:10:00Z,1.16562,1.16407,1.16721,1.16381
2025-10-27 04:15:00Z,1.16407,1.16283,1.16873,1.16207
2025-10-27 04:20:00Z,1.16295,1.16467,1.16587,1.16287
2025-10-27 04:25:00Z,1.16467,1.16328,1.1657,1.16216
2025-10-27 04:30:00Z,1.16324,1.16474,1.16474,1.16112
2025-10-27 04:35:00Z,1.16474,1.16602,1.16625,1.16376
2025-10-27 04:40:00Z,1.16602,1.16564,1.16808,1.16534
2025-10-27 04:45:00Z,1.16557,1.1667,1.16743,1.16479
2025-10-27 04:50:00Z,1.16677,1.1679,1.16897,1.1647
2025-10-27 04:55:00Z,1.16783,1.16855,1.17041,1.16764
2025-10-27 05:00:00Z,1.16855,1.17081,1.17175,1.16838
2025-10-27 05:05:00Z,1.17081,1.16985,1.17316,1.16951
2025-10-27 05:10:00Z,1.16989,1.16935,1.17026,1.16777
2025-10-27 05:15:00Z,1.16939,1.17251,1.17262,1.16843
2025-10-27 05:20:00Z,1.17251,1.1676,1.1727,1.16717
