timestamp,open,high,low,close,volume
2025-12-19 02:04:45Z,5.4875,5.4881,5.4855,5.4875,0.0
2025-12-19 02:05:00Z,5.4879,5.4933,5.4879,5.4933,0.0
2025-12-19 02:05:15Z,5.4938,5.4948,5.4918,5.4937,0.0
2025-12-19 02:05:30Z,5.4947,5.4962,5.4935,5.4951,0.0
2025-12-19 02:05:45Z,5.4956,5.4973,5.4878,5.4924,0.0
2025-12-19 02:06:00Z,5.4909,5.4909,5.4837,5.4864,0.0
2025-12-19 02:06:15Z,5.4864,5.4908,5.4864,5.4908,0.0
2025-12-19 02:06:30Z,5.4922,5.4922,5.4884,5.489,0.0
2025-12-19 02:06:45Z,5.4893,5.4934,5.4871,5.4927,0.0
2025-12-19 02:07:00Z,5.4927,5.4976,5.4925,5.4976,0.0
2025-12-19 02:07:15Z,5.4976,5.4997,5.4947,5.4955,0.0
2025-12-19 02:07:30Z,5.4955,5.502,5.4955,5.502,0.0
2025-12-19 02:07:45Z,5.502,5.5098,5.5003,5.5079,0.0
2025-12-19 02:08:00Z,5.5079,5.5097,5.5053,5.5088,0.0
2025-12-19 02:08:15Z,5.5088,5.5189,5.5088,5.5189,0.0
2025-12-19 02:08:30Z,5.5189,5.5285,5.5189,5.5278,0.0
2025-12-19 02:08:45Z,5.5278,5.5362,5.5278,5.5334,0.0
2025-12-19 02:09:00Z,5.5334,5.5344,5.5305,5.5336,0.0
2025-12-19 02:09:15Z,5.5336,5.5362,5.532,5.5361,0.0
2025-12-19 02:09:30Z,5.5361,5.5414,5.5348,5.538,0.0
2025-12-19 02:09:45Z,5.5376,5.5378,5.5296,5.5323,0.0
2025-12-19 02:10:00Z,5.5313,5.537,5.5302,5.5312,0.0
2025-12-19 02:10:15Z,5.5307,5.5355,5.5275,5.5355,0.0
2025-12-19 02:10:30Z,5.535,5.5356,5.5308,5.5341,0.0
2025-12-19 02:10:45Z,5.5337,5.5395,5.5305,5.5384,0.0
2025-12-19 02:11:00Z,5.5388,5.5403,5.5374,5.5393,0.0
2025-12-19 02:11:15Z,5.5388,5.5388,5.5325,5.5362,0.0
2025-12-19 02:11:30Z,5.5362,5.5401,5.5351,5.5379,0.0
2025-12-19 02:11:45Z,5.5383,5.5421,5.536,5.5364,0.0
2025-12-19 02:12:00Z,5.536,5.5411,5.5355,5.5384,0.0
2025-12-19 02:12:15Z,5.5378,5.5418,5.5354,5.5381,0.0
2025-12-19 02:12:30Z,5.5377,5.5383,5.5311,5.5338,0.0
2025-12-19 02:12:45Z,5.5343,5.5343,5.5283,5.5304,0.0
2025-12-19 02:13:00Z,5.5308,5.5314,5.5204,5.5211,0.0
2025-12-19 02:13:15Z,5.522,5.5251,5.5205,5.5205,0.0
2025-12-19 02:13:30Z,5.5208,5.5208,5.5156,5.5206,0.0
2025-12-19 02:13:45Z,5.5206,5.5219,5.5188,5.5207,0.0
2025-12-19 02:14:00Z,5.5207,5.5245,5.5203,5.5203,0.0
2025-12-19 02:14:15Z,5.5203,5.5224,5.5149,5.5149,0.0
2025-12-19 02:14:30Z,5.5158,5.5162,5.5103,5.5103,0.0
2025-12-19 02:14:45Z,5.5108,5.5158,5.5104,5.5116,0.0
2025-12-19 02:15:00Z,5.5111,5.5111,5.5066,5.5076,0.0
2025-12-19 02:15:15Z,5.5071,5.5128,5.5071,5.5113,0.0
2025-12-19 02:15:30Z,5.5116,5.52,5.5101,5.5171,0.0
2025-12-19 02:15:45Z,5.5167,5.5182,5.5135,5.5144,0.0
2025-12-19 02:16:00Z,5.5155,5.5162,5.5054,5.5064,0.0
2025-12-19 02:16:15Z,5.5059,5.51,5.5057,5.5096,0.0
2025-12-19 02:16:30Z,5.5108,5.5139,5.5089,5.5136,0.0
2025-12-19 02:16:45Z,5.513,5.5161,5.5082,5.5122,0.0
2025-12-19 02:17:00Z,5.5127,5.5133,5.5103,5.5115,0.0
2025-12-19 02:17:15Z,5.5105,5.5143,5.5098,5.513,0.0
2025-12-19 02:17:30Z,5.5126,5.5139,5.5106,5.5135,0.0
2025-12-19 02:17:45Z,5.5139,5.5156,5.5134,5.5136,0.0
2025-12-19 02:18:00Z,5.5146,5.5153,5.5091,5.5091,0.0
2025-12-19 02:18:15Z,5.5088,5.5186,5.5085,5.5176,0.0
2025-12-19 02:18:30Z,5.5181,5.5258,5.5181,5.5237,0.0
2025-12-19 02:18:45Z,5.5241,5.5241,5.5194,5.5212,0.0
2025-12-19 02:19:00Z,5.5208,5.5231,5.514,5.514,0.0
2025-12-19 02:19:15Z,5.5105,5.511,5.507,5.5101,0.0
2025-12-19 02:19:30Z,5.5106,5.5159,5.5106,5.5132,0.0
2025-12-19 02:19:45Z,5.5141,5.5253,5.5122,5.5237,0.0
2025-12-19 02:20:00Z,5.5229,5.5261,5.5212,5.5232,0.0
2025-12-19 02:20:15Z,5.5227,5.5239,5.5178,5.5186,0.0
2025-12-19 02:20:30Z,5.5178,5.5236,5.5168,5.5233,0.0
2025-12-19 02:20:45Z,5.5233,5.525,5.521,5.5226,0.0
