timestamp,open,close,high,low
2025-10-26 10:15:00Z,6.0586,6.0446,6.0895,6.031
2025-10-26 10:30:00Z,6.0443,6.0676,6.0687,6.029
2025-10-26 10:45:00Z,6.067,6.0899,6.1072,6.0614
2025-10-26 11:00:00Z,6.0899,6.0814,6.0935,6.0484
2025-10-26 11:15:00Z,6.0821,6.0679,6.1,6.0536
2025-10-26 11:30:00Z,6.0683,6.0787,6.0787,6.0377
2025-10-26 11:45:00Z,6.0787,6.0664,6.0924,6.0465
2025-10-26 12:00:00Z,6.0667,6.065,6.0667,6.0317
2025-10-26 12:15:00Z,6.065,6.0504,6.0948,6.0487
2025-10-26 12:30:00Z,6.0504,6.0601,6.076,6.0305
2025-10-26 12:45:00Z,6.0606,6.0085,6.0734,6.0074
2025-10-26 13:00:00Z,6.0085,6.0483,6.0503,5.9905
2025-10-26 13:15:00Z,6.0483,6.042,6.0518,6.0099
2025-10-26 13:30:00Z,6.042,6.0339,6.0583,6.0158
2025-10-26 13:45:00Z,6.0339,6.0431,6.0449,6.0045
2025-10-26 14:00:00Z,6.0431,6.0241,6.0459,5.9981
2025-10-26 14:15:00Z,6.0241,6.0408,6.0578,6.0011
2025-10-26 14:30:00Z,6.0408,6.0175,6.0565,6.0005
2025-10-26 14:45:00Z,6.018,6.0308,6.0524,6.0102
2025-10-26 15:00:00Z,6.0316,6.0518,6.0602,6.023
2025-10-26 15:15:00Z,6.051,6.0937,6.1095,6.051
2025-10-26 15:30:00Z,6.0941,6.1616,6.1644,6.079
2025-10-26 15:45:00Z,6.1616,6.1858,6.1917,6.1527
2025-10-26 16:00:00Z,6.1862,6.1837,6.1954,6.1517
2025-10-26 16:15:00Z,6.1837,6.1808,6.1915,6.1545
2025-10-26 16:30:00Z,6.1804,6.1412,6.1967,6.1412
2025-10-26 16:45:00Z,6.1408,6.1117,6.1487,6.0924
2025-10-26 17:00:00Z,6.1117,6.1708,6.183,6.1089
2025-10-26 17:15:00Z,6.1695,6.1935,6.2031,6.1486
2025-10-26 17:30:00Z,6.1935,6.1614,6.2181,6.1609
2025-10-26 17:45:00Z,6.1614,6.1496,6.1719,6.1359
2025-10-26 18:00:00Z,6.1501,6.1231,6.1709,6.119
2025-10-26 18:15:00Z,6.1228,6.1623,6.1837,6.1222
2025-10-26 18:30:00Z,6.1605,6.1449,6.1653,6.1241
2025-10-26 18:45:00Z,6.1449,6.1888,6.2,6.1399
2025-10-26 19:00:00Z,6.1894,6.1743,6.1965,6.1362
2025-10-26 19:15:00Z,6.1743,6.2141,6.2286,6.1589
2025-10-26 19:30:00Z,6.2144,6.2303,6.2475,6.1912
2025-10-26 19:45:00Z,6.2307,6.2115,6.2398,6.2086
2025-10-26 20:00:00Z,6.2115,6.24,6.2524,6.197
2025-10-26 20:15:00Z,6.2396,6.2212,6.2522,6.2002
2025-10-26 20:30:00Z,6.2208,6.2375,6.261,6.2121
2025-10-26 20:45:00Z,6.237,6.2712,6.2874,6.231
2025-10-26 21:00:00Z,6.2709,6.3221,6.3313,6.2697
2025-10-26 21:15:00Z,6.3221,6.3542,6.364,6.3003
2025-10-26 21:30:00Z,6.3538,6.373,6.4047,6.3475
2025-10-26 21:45:00Z,6.373,6.3319,6.3744,6.328
2025-10-26 22:00:00Z,6.3319,6.3174,6.3494,6.3107
2025-10-26 22:15:00Z,6.3186,6.3201,6.3417,6.2852
2025-10-26 22:30:00Z,6.3201,6.3068,6.3545,6.2992
2025-10-26 22:45:00Z,6.3072,6.2785,6.3199,6.2677
2025-10-26 23:00:00Z,6.2785,6.3232,6.3303,6.2785
2025-10-26 23:15:00Z,6.3232,6.3075,6.3333,6.3025
2025-10-26 23:30:00Z,6.3082,6.314,6.3413,6.2958
2025-10-26 23:45:00Z,6.314,6.3373,6.3377,6.2854
2025-10-27 00:00:00Z,6.3368,6.3683,6.3936,6.3225
