timestamp,open,close,high,low
2025-10-26 10:30:00Z,108.287,108.223,108.413,108.138
2025-10-26 10:45:00Z,108.22,107.854,108.268,107.823
2025-10-26 11:00:00Z,107.854,108.028,108.028,107.678
2025-10-26 11:15:00Z,108.032,107.91,108.055,107.867
2025-10-26 11:30:00Z,107.91,108.007,108.188,107.895
2025-10-26 11:45:00Z,108.007,108.112,108.171,107.895
2025-10-26 12:00:00Z,108.117,108.045,108.165,107.785
2025-10-26 12:15:00Z,108.045,108.274,108.413,108.031
2025-10-26 12:30:00Z,108.274,108.234,108.344,108.042
2025-10-26 12:45:00Z,108.237,108.364,108.364,108.068
2025-10-26 13:00:00Z,108.364,108.378,108.656,108.265
2025-10-26 13:15:00Z,108.378,107.707,108.378,107.633
2025-10-26 13:30:00Z,107.707,108.049,108.131,107.551
2025-10-26 13:45:00Z,108.049,108.136,108.413,107.988
2025-10-26 14:00:00Z,108.127,107.753,108.22,107.667
2025-10-26 14:15:00Z,107.753,107.92,107.942,107.564
2025-10-26 14:30:00Z,107.916,108.001,108.045,107.783
2025-10-26 14:45:00Z,108.003,107.726,108.105,107.689
2025-10-26 15:00:00Z,107.726,107.932,107.936,107.628
2025-10-26 15:15:00Z,107.936,108.013,108.07,107.819
2025-10-26 15:30:00Z,108.019,108.196,108.314,107.947
2025-10-26 15:45:00Z,108.196,108.041,108.304,107.985
2025-10-26 16:00:00Z,108.047,108.128,108.177,107.805
2025-10-26 16:15:00Z,108.128,108.232,108.3,107.969
2025-10-26 16:30:00Z,108.23,107.852,108.289,107.812
2025-10-26 16:45:00Z,107.857,108.197,108.386,107.843
2025-10-26 17:00:00Z,108.197,108.248,108.505,108.094
2025-10-26 17:15:00Z,108.243,108.437,108.591,108.215
2025-10-26 17:30:00Z,108.437,108.443,108.669,108.363
2025-10-26 17:45:00Z,108.445,108.255,108.448,108.126
2025-10-26 18:00:00Z,108.259,108.146,108.608,108.108
2025-10-26 18:15:00Z,108.149,108.263,108.309,107.943
2025-10-26 18:30:00Z,108.26,108.581,108.648,108.184
2025-10-26 18:45:00Z,108.581,108.203,108.588,108.047
2025-10-26 19:00:00Z,108.198,108.194,108.358,108.081
2025-10-26 19:15:00Z,108.194,107.883,108.203,107.84
2025-10-26 19:30:00Z,107.88,107.815,107.943,107.586
2025-10-26 19:45:00Z,107.819,107.756,108.034,107.603
2025-10-26 20:00:00Z,107.756,107.45,107.942,107.442
2025-10-26 20:15:00Z,107.448,107.206,107.582,107.146
2025-10-26 20:30:00Z,107.201,107.173,107.258,106.973
2025-10-26 20:45:00Z,107.171,107.556,107.56,107.095
2025-10-26 21:00:00Z,107.553,107.48,107.768,107.419
2025-10-26 21:15:00Z,107.48,107.456,107.693,107.394
2025-10-26 21:30:00Z,107.453,107.435,107.538,107.256
2025-10-26 21:45:00Z,107.435,107.713,107.795,107.432
2025-10-26 22:00:00Z,107.713,107.613,107.743,107.394
2025-10-26 22:15:00Z,107.619,107.554,107.649,107.305
2025-10-26 22:30:00Z,107.554,107.406,107.616,107.275
2025-10-26 22:45:00Z,107.401,107.213,107.41,106.985
2025-10-26 23:00:00Z,107.213,107.492,107.55,107.074
2025-10-26 23:15:00Z,107.492,107.819,107.952,107.468
2025-10-26 23:30:00Z,107.816,107.707,107.974,107.609
2025-10-26 23:45:00Z,107.707,107.635,107.73,107.445
2025-10-27 00:00:00Z,107.632,107.64,107.875,107.547
2025-10-27 00:15:00Z,107.64,107.521,107.779,107.419
2025-10-27 00:30:00Z,107.521,107.661,107.722,107.46
2025-10-27 00:45:00Z,107.666,107.57,107.739,107.459
2025-10-27 01:00:00Z,107.57,107.427,107.748,107.419
2025-10-27 01:15:00Z,107.427,107.737,107.836,107.425
2025-10-27 01:30:00Z,107.735,107.498,107.923,107.388
2025-10-27 01:45:00Z,107.498,107.949,107.982,107.495
2025-10-27 02:00:00Z,107.945,107.589,107.973,107.528
2025-10-27 02:15:00Z,107.585,107.701,107.791,107.407
2025-10-27 02:30:00Z,107.688,107.923,108.087,107.669
2025-10-27 02:45:00Z,107.923,107.682,108.046,107.682
2025-10-27 03:00:00Z,107.682,107.782,108.123,107.671
2025-10-27 03:15:00Z,107.778,107.658,107.836,107.547
2025-10-27 03:30:00Z,107.656,107.907,108.127,107.655
2025-10-27 03:45:00Z,107.904,108.371,108.375,107.823
2025-10-27 04:00:00Z,108.376,108.777,108.822,108.167
2025-10-27 04:15:00Z,108.777,108.9,109.076,108.687
2025-10-27 04:30:00Z,108.9,108.691,108.961,108.67
2025-10-27 04:45:00Z,108.694,108.615,108.779,108.413
2025-10-27 05:00:00Z,108.615,108.404,108.745,108.343
2025-10-27 05:15:00Z,108.399,108.332,108.451,108.074
2025-10-27 05:30:00Z,108.337,108.828,108.889,108.181
2025-10-27 05:45:00Z,108.825,108.779,108.917,108.639
2025-10-27 06:00:00Z,108.776,108.587,108.874,108.521
2025-10-27 06:15:00Z,108.591,108.318,108.701,108.236
2025-10-27 06:30:00Z,108.318,108.592,108.812,108.299
2025-10-27 06:45:00Z,108.594,108.185,108.632,108.115
2025-10-27 07:00:00Z,108.183,108.443,108.508,108.168
2025-10-27 07:15:00Z,108.446,108.634,108.759,108.392
2025-10-27 07:30:00Z,108.634,108.346,108.781,108.341
2025-10-27 07:45:00Z,108.346,108.043,108.382,108
2025-10-27 08:00:00Z,108.043,107.489,108.046,107.431
2025-10-27 08:15:00Z,107.489,107.332,107.494,107.124
2025-10-27 08:30:00Z,107.332,107.348,107.445,107.221
2025-10-27 08:45:00Z,107.344,107.269,107.609,107.25
2025-10-27 09:00:00Z,107.269,106.606,107.323,106.453
2025-10-27 09:15:00Z,106.606,106.82,106.839,106.52
2025-10-27 09:30:00Z,106.82,106.502,106.876,106.386
2025-10-27 09:45:00Z,106.51,106.125,106.609,106.076
2025-10-27 10:00:00Z,106.125,105.894,106.192,105.779
2025-10-27 10:15:00Z,105.894,105.532,105.937,105.398
2025-10-27 10:30:00Z,105.53,105.61,105.657,105.28
2025-10-27 10:45:00Z,105.61,105.603,105.722,105.437
2025-10-27 11:00:00Z,105.603,105.569,105.738,105.417
2025-10-27 11:06:00Z,105.484,105.436,105.491,105.417
2025-10-27 11:07:00Z,105.436,105.539,105.546,105.436
