timestamp,open,high,low,close,volume
2025-12-18 21:10:00Z,290.381,290.422,290.344,290.365,0.0
2025-12-18 21:11:00Z,290.387,290.432,290.316,290.328,0.0
2025-12-18 21:12:00Z,290.332,290.332,290.199,290.227,0.0
2025-12-18 21:13:00Z,290.222,290.234,290.086,290.111,0.0
2025-12-18 21:14:00Z,290.105,290.182,290.079,290.182,0.0
2025-12-18 21:15:00Z,290.182,290.259,290.158,290.19,0.0
2025-12-18 21:16:00Z,290.19,290.21,290.149,290.159,0.0
2025-12-18 21:17:00Z,290.159,290.208,290.098,290.11,0.0
2025-12-18 21:18:00Z,290.11,290.153,290.057,290.107,0.0
2025-12-18 21:19:00Z,290.121,290.148,290.006,290.024,0.0
2025-12-18 21:20:00Z,290.035,290.078,290.031,290.069,0.0
2025-12-18 21:21:00Z,290.062,290.166,290.053,290.151,0.0
2025-12-18 21:22:00Z,290.151,290.205,290.138,290.143,0.0
2025-12-18 21:23:00Z,290.143,290.258,290.139,290.223,0.0
2025-12-18 21:24:00Z,290.223,290.253,290.15,290.216,0.0
2025-12-18 21:25:00Z,290.226,290.315,290.206,290.314,0.0
2025-12-18 21:26:00Z,290.317,290.368,290.219,290.263,0.0
2025-12-18 21:27:00Z,290.256,290.268,290.186,290.224,0.0
2025-12-18 21:28:00Z,290.231,290.294,290.226,290.261,0.0
2025-12-18 21:29:00Z,290.261,290.287,290.193,290.207,0.0
2025-12-18 21:30:00Z,290.213,290.347,290.199,290.304,0.0
2025-12-18 21:31:00Z,290.308,290.366,290.291,290.359,0.0
2025-12-18 21:32:00Z,290.356,290.365,290.227,290.258,0.0
2025-12-18 21:33:00Z,290.258,290.339,290.248,290.309,0.0
2025-12-18 21:34:00Z,290.311,290.383,290.299,290.31,0.0
2025-12-18 21:35:00Z,290.307,290.391,290.269,290.341,0.0
2025-12-18 21:36:00Z,290.341,290.554,290.333,290.508,0.0
2025-12-18 21:37:00Z,290.505,290.58,290.484,290.485,0.0
2025-12-18 21:38:00Z,290.488,290.499,290.435,290.444,0.0
2025-12-18 21:39:00Z,290.444,290.454,290.378,290.454,0.0
2025-12-18 21:40:00Z,290.454,290.467,290.391,290.443,0.0
2025-12-18 21:41:00Z,290.462,290.462,290.303,290.361,0.0
2025-12-18 21:42:00Z,290.365,290.409,290.339,290.409,0.0
2025-12-18 21:43:00Z,290.409,290.474,290.363,290.474,0.0
2025-12-18 21:44:00Z,290.474,290.524,290.443,290.474,0.0
2025-12-18 21:45:00Z,290.474,290.539,290.469,290.475,0.0
2025-12-18 21:46:00Z,290.475,290.647,290.469,290.632,0.0
2025-12-18 21:47:00Z,290.637,290.67,290.583,290.604,0.0
2025-12-18 21:48:00Z,290.604,290.729,290.572,290.684,0.0
2025-12-18 21:49:00Z,290.681,290.763,290.654,290.712,0.0
2025-12-18 21:50:00Z,290.712,290.844,290.672,290.831,0.0
2025-12-18 21:51:00Z,290.831,290.841,290.703,290.762,0.0
2025-12-18 21:52:00Z,290.76,290.871,290.757,290.793,0.0
2025-12-18 21:53:00Z,290.8,290.885,290.761,290.812,0.0
2025-12-18 21:54:00Z,290.818,290.988,290.81,290.953,0.0
2025-12-18 21:55:00Z,290.953,290.982,290.896,290.974,0.0
2025-12-18 21:56:00Z,290.974,290.981,290.876,290.981,0.0
2025-12-18 21:57:00Z,290.987,291.06,290.949,291.009,0.0
2025-12-18 21:58:00Z,291.005,291.089,290.988,291.067,0.0
2025-12-18 21:59:00Z,291.063,291.099,291.026,291.062,0.0
